session_id,user_id,timestamp,action,parameters,prev_action_1,prev_action_2,prev_action_3,day,month,week,year,seconds_passed,pa1_ss,pa2_ss,pa3_ss
dc7e5a96-1e7b-4626-b811-55a89e8ea2bc,user_1,2025-03-01 09:17:53+00:00,POST /sprints,"['board_id', 'start_date']",,,,1,3,9,2025,33473,False,False,False
dc7e5a96-1e7b-4626-b811-55a89e8ea2bc,user_1,2025-03-01 09:20:01+00:00,DELETE /tickets/{ticketId},[],POST /sprints,,,1,3,9,2025,33601,True,False,False
dc7e5a96-1e7b-4626-b811-55a89e8ea2bc,user_1,2025-03-01 09:26:46+00:00,POST /boards,[],DELETE /tickets/{ticketId},POST /sprints,,1,3,9,2025,34006,True,True,False
dc7e5a96-1e7b-4626-b811-55a89e8ea2bc,user_1,2025-03-01 09:27:02+00:00,DELETE /boards/{boardId},[],POST /boards,DELETE /tickets/{ticketId},POST /sprints,1,3,9,2025,34022,True,True,True
dc7e5a96-1e7b-4626-b811-55a89e8ea2bc,user_1,2025-03-01 09:28:49+00:00,PUT /costs/{service_id}/{cost_id},"['service_id', 'cost_id']",DELETE /boards/{boardId},POST /boards,DELETE /tickets/{ticketId},1,3,9,2025,34129,True,True,True
e099f058-4f23-45fc-ad8e-51d96c6e3c8e,user_1,2025-03-01 18:51:05+00:00,PUT /budgets/{budget_id},[],PUT /costs/{service_id}/{cost_id},DELETE /boards/{boardId},POST /boards,1,3,9,2025,67865,False,False,False
e099f058-4f23-45fc-ad8e-51d96c6e3c8e,user_1,2025-03-01 18:56:35+00:00,GET /sprints/{sprintId},[],PUT /budgets/{budget_id},PUT /costs/{service_id}/{cost_id},DELETE /boards/{boardId},1,3,9,2025,68195,True,False,False
e099f058-4f23-45fc-ad8e-51d96c6e3c8e,user_1,2025-03-01 19:07:07+00:00,POST /events,['entity_id'],GET /sprints/{sprintId},PUT /budgets/{budget_id},PUT /costs/{service_id}/{cost_id},1,3,9,2025,68827,True,True,False
b47bea9e-9a35-453d-ae11-59ba6ad8a411,user_1,2025-03-03 09:56:09+00:00,PUT /invoices/{invoice_id}/status,[],POST /events,GET /sprints/{sprintId},PUT /budgets/{budget_id},3,3,10,2025,35769,False,False,False
b47bea9e-9a35-453d-ae11-59ba6ad8a411,user_1,2025-03-03 10:03:37+00:00,POST /events,['entity_id'],PUT /invoices/{invoice_id}/status,POST /events,GET /sprints/{sprintId},3,3,10,2025,36217,True,False,False
b47bea9e-9a35-453d-ae11-59ba6ad8a411,user_1,2025-03-03 10:06:02+00:00,GET /tickets/{ticketId},['ticketId'],POST /events,PUT /invoices/{invoice_id}/status,POST /events,3,3,10,2025,36362,True,True,False
be0f0ddb-1915-44e4-89f3-2f59d99b1889,user_1,2025-03-04 14:27:59+00:00,PATCH /boards/{boardId},"['description', 'name', 'boardId']",GET /tickets/{ticketId},POST /events,PUT /invoices/{invoice_id}/status,4,3,10,2025,52079,False,False,False
be0f0ddb-1915-44e4-89f3-2f59d99b1889,user_1,2025-03-04 14:29:17+00:00,DELETE /events/{eventId},[],PATCH /boards/{boardId},GET /tickets/{ticketId},POST /events,4,3,10,2025,52157,True,False,False
be0f0ddb-1915-44e4-89f3-2f59d99b1889,user_1,2025-03-04 14:37:51+00:00,PATCH /tickets/{ticketId},"['ticketId', 'status', 'assignee']",DELETE /events/{eventId},PATCH /boards/{boardId},GET /tickets/{ticketId},4,3,10,2025,52671,True,True,False
09b69256-3acf-40f9-aecd-04d5ddeb02fd,user_1,2025-03-05 12:13:07+00:00,GET /sprints,['state'],PATCH /tickets/{ticketId},DELETE /events/{eventId},PATCH /boards/{boardId},5,3,10,2025,43987,False,False,False
09b69256-3acf-40f9-aecd-04d5ddeb02fd,user_1,2025-03-05 12:24:35+00:00,PUT /invoices/{invoice_id},[],GET /sprints,PATCH /tickets/{ticketId},DELETE /events/{eventId},5,3,10,2025,44675,True,False,False
09b69256-3acf-40f9-aecd-04d5ddeb02fd,user_1,2025-03-05 12:32:32+00:00,GET /sprints/{sprintId},[],PUT /invoices/{invoice_id},GET /sprints,PATCH /tickets/{ticketId},5,3,10,2025,45152,True,True,False
09b69256-3acf-40f9-aecd-04d5ddeb02fd,user_1,2025-03-05 12:55:17+00:00,DELETE /boards/{boardId},['boardId'],GET /sprints/{sprintId},PUT /invoices/{invoice_id},GET /sprints,5,3,10,2025,46517,True,True,True
0f73709d-07cc-4c0e-a4d9-17a0664ae689,user_1,2025-03-06 17:07:01+00:00,GET /events,['user_id'],DELETE /boards/{boardId},GET /sprints/{sprintId},PUT /invoices/{invoice_id},6,3,10,2025,61621,False,False,False
0f73709d-07cc-4c0e-a4d9-17a0664ae689,user_1,2025-03-06 17:11:04+00:00,DELETE /boards/{boardId},['boardId'],GET /events,DELETE /boards/{boardId},GET /sprints/{sprintId},6,3,10,2025,61864,True,False,False
0f73709d-07cc-4c0e-a4d9-17a0664ae689,user_1,2025-03-06 17:16:48+00:00,PUT /costs/{service_id}/{cost_id},"['cost_id', 'service_id']",DELETE /boards/{boardId},GET /events,DELETE /boards/{boardId},6,3,10,2025,62208,True,True,False
