session_id,user_id,timestamp,action,parameters
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:31:14Z,PUT /revenue/{service_id}/{revenue_id},['service_id']
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:40:11Z,POST /events,"['entity_id', 'event_type', 'details']"
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:39:30Z,POST /sprints/{sprintId}/tickets,[]
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:49:50Z,PATCH /tickets/{ticketId},[]
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:32:46Z,GET /tickets/{ticketId},[]
27520599-d6fe-41e2-9228-61f732ba1919,user_1,2025-03-16T16:32:14Z,PATCH /tickets/{ticketId},[]
aa1da5fe-f511-49df-8956-ccbc9cb025a0,user_2,2025-04-13T16:53:35Z,DELETE /events/{eventId},['eventId']
aa1da5fe-f511-49df-8956-ccbc9cb025a0,user_2,2025-04-13T17:02:09Z,PATCH /tickets/{ticketId},"['assignee', 'summary', 'status']"
aa1da5fe-f511-49df-8956-ccbc9cb025a0,user_2,2025-04-13T17:03:01Z,GET /sprints,['state']
aa1da5fe-f511-49df-8956-ccbc9cb025a0,user_2,2025-04-13T17:17:32Z,POST /sprints,"['end_date', 'board_id']"
1b69d4c7-be15-4f98-ae26-e611b8aa589e,user_3,2025-05-19T08:07:14Z,POST /tickets,['summary']
1b69d4c7-be15-4f98-ae26-e611b8aa589e,user_3,2025-05-19T08:16:44Z,POST /boards,['name']
838aeac9-88f7-4d4f-bb08-7ee6ffd458a8,user_4,2025-05-25T15:48:07Z,PATCH /sprints/{sprintId},"['end_date', 'sprintId', 'state']"
838aeac9-88f7-4d4f-bb08-7ee6ffd458a8,user_4,2025-05-25T15:55:11Z,POST /sprints/{sprintId}/tickets,['ticket_ids']
838aeac9-88f7-4d4f-bb08-7ee6ffd458a8,user_4,2025-05-25T16:05:43Z,POST /boards,['name']
838aeac9-88f7-4d4f-bb08-7ee6ffd458a8,user_4,2025-05-25T15:58:04Z,DELETE /boards/{boardId},['boardId']
48114ae8-3bd4-4f26-a8ce-6fae679d28c7,user_5,2025-03-11T15:24:48Z,POST /tickets/{ticketId}/transitions,"['comment', 'transition_id', 'ticketId']"
48114ae8-3bd4-4f26-a8ce-6fae679d28c7,user_5,2025-03-11T15:30:49Z,DELETE /tickets/{ticketId},[]
48114ae8-3bd4-4f26-a8ce-6fae679d28c7,user_5,2025-03-11T15:39:12Z,DELETE /tickets/{ticketId},['ticketId']
48114ae8-3bd4-4f26-a8ce-6fae679d28c7,user_5,2025-03-11T15:47:18Z,DELETE /boards/{boardId},[]
48114ae8-3bd4-4f26-a8ce-6fae679d28c7,user_5,2025-03-11T15:48:40Z,POST /sprints/{sprintId}/tickets,[]
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T17:29:34Z,PATCH /sprints/{sprintId},[]
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T17:33:22Z,GET /sprints/{sprintId},['sprintId']
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T17:33:36Z,GET /sprints,"['state', 'board_id']"
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T17:47:40Z,POST /boards,[]
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T18:07:06Z,PATCH /tickets/{ticketId},"['priority', 'assignee']"
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T18:08:09Z,GET /tickets/{ticketId},['ticketId']
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T18:05:22Z,GET /boards/{boardId},[]
37c7aed0-1897-4d38-97bb-41bf4a859806,user_6,2025-05-17T18:35:01Z,GET /events/{eventId},['eventId']
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:26:13Z,PATCH /boards/{boardId},"['name', 'boardId', 'description']"
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:30:18Z,POST /boards,"['project_key', 'type', 'name']"
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:41:11Z,PATCH /tickets/{ticketId},[]
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:38:19Z,DELETE /sprints/{sprintId},[]
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:48:37Z,POST /boards,['type']
101c65d5-2c00-4733-a290-4bcd495ec508,user_7,2025-03-12T11:52:53Z,DELETE /sprints/{sprintId},['sprintId']
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:32:01Z,POST /boards,"['description', 'project_key']"
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:36:43Z,PUT /budgets/{budget_id},[]
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:35:33Z,POST /sprints,['goal']
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:40:52Z,PUT /costs/{service_id}/{cost_id},[]
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:58:17Z,PATCH /tickets/{ticketId},[]
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T10:02:01Z,POST /tickets,"['reporter', 'priority', 'summary']"
77953d16-ec9a-454a-acc5-23ef3f063e93,user_8,2025-04-21T09:54:31Z,DELETE /boards/{boardId},['boardId']
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T14:43:18Z,POST /sprints/{sprintId}/tickets,[]
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T14:50:23Z,DELETE /tickets/{ticketId},['ticketId']
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T14:43:50Z,GET /tickets/{ticketId}/transitions,['ticketId']
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T15:09:24Z,PATCH /boards/{boardId},[]
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T15:16:14Z,GET /boards/{boardId},[]
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T15:15:08Z,DELETE /events/{eventId},[]
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T15:02:30Z,POST /tickets/{ticketId}/transitions,[]
a0490f94-5ec4-44ce-9aab-406bd124aa65,user_9,2025-04-16T15:31:15Z,PUT /costs/{service_id}/{cost_id},['cost_id']
dbefd9d8-fb76-4efb-8b70-6f7141f6742a,user_10,2025-04-16T10:19:58Z,PUT /invoices/{invoice_id}/status,"['invoice_id', 'status']"
dbefd9d8-fb76-4efb-8b70-6f7141f6742a,user_10,2025-04-16T10:21:38Z,POST /boards,['name']
dbefd9d8-fb76-4efb-8b70-6f7141f6742a,user_10,2025-04-16T10:39:50Z,PUT /revenue/{service_id}/{revenue_id},"['revenue_id', 'service_id']"
dbefd9d8-fb76-4efb-8b70-6f7141f6742a,user_10,2025-04-16T10:45:58Z,GET /tickets,"['limit', 'offset']"
dbefd9d8-fb76-4efb-8b70-6f7141f6742a,user_10,2025-04-16T10:51:10Z,PUT /revenue/{service_id}/{revenue_id},['service_id']
0933d864-bac0-498b-a26d-eb5aa2b28e67,user_1,2025-05-28T09:15:12Z,PATCH /tickets/{ticketId},['summary']
0933d864-bac0-498b-a26d-eb5aa2b28e67,user_1,2025-05-28T09:22:02Z,PUT /revenue/{service_id}/{revenue_id},[]
0933d864-bac0-498b-a26d-eb5aa2b28e67,user_1,2025-05-28T09:30:10Z,DELETE /sprints/{sprintId},[]
0933d864-bac0-498b-a26d-eb5aa2b28e67,user_1,2025-05-28T09:21:15Z,PUT /invoices/{invoice_id}/status,"['invoice_id', 'status']"
